,MUNICIPIOS,latitude,longitude,SISTEMAS_GD,POTÊNCIA (w),N_MOD,TOTAL PESO (kg),TOTAL VIDRO (kg),TOTAL ALUMÍNIO (kg),TOTAL SILÍCIO (kg),TOTAL POLÍMERO (kg),TOTAL ZINCO (kg),TOTAL CHUMBO (kg),TOTAL COBRE (kg),TOTAL PRATA (kg)
1582,Albertina,-22.2018,-46.6139,41,363.0,782.0,14293.0,10576.82,1429.3,428.78999999999996,929.0450000000001,17.1516,14.293000000000001,85.758,0.85758
1583,Piumhi,-20.4762,-45.9589,999,1023.0,2329.0,1105054.0,817739.96,110505.4,33151.62,71828.51,1326.0647999999999,1105.054,6630.3240000000005,66.30324
1584,Conselheiro Lafaiete,-20.6634,-43.7846,888,3586.0,6340.0,541123.0,400431.02,54112.3,16233.689999999999,35172.995,649.3475999999999,541.123,3246.7380000000003,32.46738
1585,Virginópolis,-18.8154,-42.7015,149,291.0,506.0,70162.0,51919.88,7016.2,2104.86,4560.53,84.19439999999999,70.162,420.972,4.20972
1586,Gonçalves,-22.6545,-45.8556,93,2450.0,4542.0,37748.0,27933.52,3774.8,1132.44,2453.62,45.297599999999996,37.748,226.488,2.26488
1587,Nova Era,-19.7577,-43.0333,179,9888.0,18173.0,92091.0,68147.34,9209.1,2762.73,5985.915,110.50919999999999,92.091,552.546,5.52546
1588,Silvianópolis,-22.0274,-45.8385,67,2133.0,3818.0,39219.0,29022.06,3921.9,1176.57,2549.235,47.062799999999996,39.219,235.31400000000002,2.3531400000000002
1589,Juruaia,-21.2493,-46.5735,206,1282.0,3572.0,92287.0,68292.38,9228.7,2768.6099999999997,5998.655000000001,110.74439999999998,92.287,553.722,5.5372200000000005
1590,Carmo de Minas,-22.1204,-45.1307,125,3789.0,6688.0,93851.0,69449.74,9385.1,2815.5299999999997,6100.3150000000005,112.62119999999999,93.851,563.106,5.63106
1591,Sapucaí-Mirim,-22.7409,-45.738,52,17680.0,51374.0,25360.0,18766.4,2536.0,760.8,1648.4,30.432,25.36,152.16,1.5216
1592,Borda da Mata,-22.2707,-46.1653,314,2032.0,3685.0,278826.0,206331.24,27882.6,8364.78,18123.69,334.59119999999996,278.826,1672.9560000000001,16.72956
1593,Guaranésia,-21.3009,-46.7964,343,166.0,264.0,171637.0,127011.38,17163.7,5149.11,11156.405,205.96439999999998,171.637,1029.8220000000001,10.29822
1594,Pedro Leopoldo,-19.6308,-44.0383,500,1307.0,2418.0,442070.0,327131.8,44207.0,13262.099999999999,28734.550000000003,530.4839999999999,442.07,2652.42,26.5242
1595,Monte Carmelo,-18.7302,-47.4912,927,311.0,469.0,778178.0,575851.72,77817.8,23345.34,50581.57,933.8136,778.178,4669.068,46.69068
1596,Mateus Leme,-19.9794,-44.4318,481,530.0,1836.0,412396.0,305173.04,41239.6,12371.88,26805.74,494.87519999999995,412.396,2474.376,24.74376
1597,Januária,-15.4802,-44.3639,817,1494.0,2495.0,816215.0,603999.1,81621.5,24486.45,53053.975,979.458,816.215,4897.29,48.9729
1598,Bocaiúva,-17.1135,-43.8104,503,1649.0,3051.0,1239056.0,916901.4400000001,123905.6,37171.68,80538.64,1486.8672,1239.056,7434.336,74.34336
1599,José Gonçalves de Minas,-16.9053,-42.6014,24,2937.0,5034.0,19800.0,14652.0,1980.0,594.0,1287.0,23.759999999999998,19.8,118.8,1.1880000000000002
1600,Jaboticatubas,-19.5119,-43.7373,569,15035.0,34955.0,408811.0,302520.14,40881.1,12264.33,26572.715,490.57319999999993,408.81100000000004,2452.866,24.52866
1601,Três Corações,-21.6921,-45.2511,1255,2995.0,7817.0,1033886.0,765075.64,103388.6,31016.579999999998,67202.59,1240.6632,1033.886,6203.316,62.03316
1602,Paraguaçu,-21.5465,-45.7374,440,1775.0,2759.0,282146.0,208788.04,28214.6,8464.38,18339.49,338.5752,282.146,1692.876,16.92876
1603,Santa Rita do Sapucaí,-22.2461,-45.7034,667,2393.0,5093.0,450625.0,333462.5,45062.5,13518.75,29290.625,540.75,450.625,2703.75,27.0375
1604,São Francisco de Sales,-19.8611,-49.7727,215,1539.0,2659.0,103071.0,76272.54,10307.1,3092.13,6699.615000000001,123.6852,103.071,618.426,6.18426
1605,Aguanil,-20.9439,-45.3915,70,11019.0,32578.0,59926.0,44345.24,5992.6,1797.78,3895.19,71.9112,59.926,359.556,3.5955600000000003
1606,Tarumirim,-19.2835,-42.0097,288,34273.0,121689.0,223679.0,165522.46,22367.9,6710.37,14539.135,268.41479999999996,223.679,1342.074,13.42074
1607,Vazante,-17.9827,-46.9088,408,317.0,685.0,409056.0,302701.44,40905.6,12271.68,26588.64,490.86719999999997,409.056,2454.3360000000002,24.54336
1608,Juatuba,-19.9448,-44.3451,298,3352.0,7313.0,153617.0,113676.58,15361.7,4608.51,9985.105,184.3404,153.617,921.702,9.21702
1609,Presidente Olegário,-18.4096,-46.4165,364,8497.0,15596.0,405141.0,299804.34,40514.1,12154.23,26334.165,486.16919999999993,405.141,2430.846,24.30846
1610,Prata,-19.3086,-48.9276,137,1433.0,2862.0,127468.0,94326.31999999999,12746.800000000001,3824.04,8285.42,152.96159999999998,127.468,764.808,7.64808
1611,Prata,-7.68826,-37.0801,137,399.0,713.0,127468.0,94326.31999999999,12746.800000000001,3824.04,8285.42,152.96159999999998,127.468,764.808,7.64808
1612,Muzambinho,-21.3692,-46.5213,294,2787.0,6091.0,148019.0,109534.06,14801.9,4440.57,9621.235,177.62279999999998,148.019,888.114,8.88114
1613,Conselheiro Pena,-19.1789,-41.4736,801,626.0,1123.0,386102.0,285715.48,38610.2,11583.06,25096.63,463.32239999999996,386.10200000000003,2316.612,23.16612
1614,Guaraciaba,-20.5716,-43.0094,224,751.0,1430.0,227094.0,168049.56,22709.4,6812.82,14761.11,272.51279999999997,227.094,1362.564,13.62564
1615,Guaraciaba,-26.6042,-53.5243,224,1443.0,3653.0,227094.0,168049.56,22709.4,6812.82,14761.11,272.51279999999997,227.094,1362.564,13.62564
1616,Caeté,-19.8826,-43.6704,316,720.0,1249.0,182359.0,134945.66,18235.9,5470.7699999999995,11853.335000000001,218.83079999999998,182.359,1094.154,10.94154
1617,Elói Mendes,-21.6088,-45.5691,301,64.0,99.0,494639.0,366032.86,49463.9,14839.17,32151.535,593.5668,494.639,2967.834,29.678340000000002
1618,Lima Duarte,-21.8386,-43.7934,70,889.0,1884.0,56984.0,42168.159999999996,5698.4,1709.52,3703.96,68.3808,56.984,341.904,3.41904
1619,Itaú de Minas,-20.7375,-46.7525,393,25333.0,61596.0,159660.0,118148.4,15966.0,4789.8,10377.9,191.59199999999998,159.66,957.96,9.579600000000001
1620,Lagoa Formosa,-18.7715,-46.4012,440,3956.0,12805.0,506245.0,374621.3,50624.5,15187.35,32905.925,607.4939999999999,506.245,3037.4700000000003,30.3747
1621,Nova Serrana,-19.8713,-44.9847,1244,31.0,48.0,1430967.0,1058915.58,143096.7,42929.01,93012.855,1717.1603999999998,1430.967,8585.802,85.85802
1622,Guanhães,-18.7713,-42.9312,73,2623.0,4641.0,185342.0,137153.08,18534.2,5560.26,12047.230000000001,222.41039999999998,185.34199999999998,1112.0520000000001,11.12052
1623,Limeira do Oeste,-19.5512,-50.5815,349,1416.0,3076.0,132821.0,98287.54,13282.1,3984.6299999999997,8633.365,159.3852,132.821,796.926,7.96926
1624,São João Batista do Glória,-20.635,-46.508,308,1246.0,3098.0,189846.0,140486.04,18984.600000000002,5695.38,12339.99,227.81519999999998,189.846,1139.076,11.39076
1625,Carmo do Paranaíba,-18.991,-46.3167,596,817.0,2063.0,638616.0,472575.83999999997,63861.6,19158.48,41510.04,766.3391999999999,638.616,3831.6960000000004,38.31696
1626,Pouso Alto,-22.1964,-44.9748,79,990.0,2393.0,71253.0,52727.22,7125.3,2137.5899999999997,4631.445000000001,85.50359999999999,71.253,427.51800000000003,4.27518
1627,Varjão de Minas,-18.3741,-46.0313,100,3846.0,7005.0,148430.0,109838.2,14843.0,4452.9,9647.95,178.11599999999999,148.43,890.58,8.905800000000001
1628,Várzea da Palma,-17.5944,-44.7226,321,1885.0,3600.0,606114.0,448524.36,60611.4,18183.42,39397.41,727.3367999999999,606.114,3636.684,36.36684
1629,Martinho Campos,-19.3306,-45.2434,325,972.0,1843.0,229595.0,169900.3,22959.5,6887.849999999999,14923.675000000001,275.51399999999995,229.595,1377.57,13.7757
1630,Curvelo,-18.7527,-44.4303,1448,808.0,1253.0,1058905.0,783589.7,105890.5,31767.149999999998,68828.825,1270.686,1058.905,6353.43,63.5343
1631,Mathias Lobato,-18.59,-41.9166,17,2673.0,4066.0,7719.0,5712.0599999999995,771.9,231.57,501.735,9.262799999999999,7.719,46.314,0.46314
1632,Lagoa da Prata,-20.0237,-45.5401,903,163.0,251.0,539979.0,399584.46,53997.9,16199.369999999999,35098.635,647.9748,539.979,3239.8740000000003,32.398740000000004
1633,Dom Silvério,-20.1627,-42.9627,78,370.0,581.0,62235.0,46053.9,6223.5,1867.05,4045.275,74.68199999999999,62.235,373.41,3.7341
1634,Tumiritinga,-18.9844,-41.6527,210,48600.0,161479.0,86989.0,64371.86,8698.9,2609.67,5654.285,104.3868,86.989,521.934,5.21934
1635,Dom Cavati,-19.3735,-42.1121,126,760.0,1175.0,76983.0,56967.42,7698.3,2309.49,5003.895,92.3796,76.983,461.898,4.61898
1636,São José do Alegre,-22.3243,-45.5258,49,294.0,613.0,18353.0,13581.22,1835.3,550.59,1192.945,22.0236,18.353,110.118,1.10118
1637,Raposos,-19.9636,-43.8079,29,3364.0,6281.0,11385.0,8424.9,1138.5,341.55,740.025,13.661999999999999,11.385,68.31,0.6831
1638,Água Boa,-17.9914,-42.3806,711,1589.0,4909.0,629741.0,466008.33999999997,62974.1,18892.23,40933.165,755.6891999999999,629.741,3778.446,37.78446
1639,Água Boa,-14.051,-52.1601,711,434.0,694.0,629741.0,466008.33999999997,62974.1,18892.23,40933.165,755.6891999999999,629.741,3778.446,37.78446
1640,Capelinha,-17.6888,-42.5147,355,5292.0,10945.0,259610.0,192111.4,25961.0,7788.3,16874.65,311.532,259.61,1557.66,15.576600000000001
1641,Comendador Gomes,-19.6973,-49.0789,139,157.0,336.0,68588.0,50755.12,6858.8,2057.64,4458.22,82.3056,68.588,411.528,4.11528
1642,Conceição das Alagoas,-19.9172,-48.3839,486,641.0,1204.0,238829.0,176733.46,23882.9,7164.87,15523.885,286.59479999999996,238.829,1432.974,14.329740000000001
1643,Itapagipe,-19.9062,-49.3781,614,463.0,1051.0,279196.0,206605.04,27919.600000000002,8375.88,18147.74,335.0352,279.196,1675.176,16.75176
1644,Pequi,-19.6284,-44.6604,71,45.0,68.0,64530.0,47752.2,6453.0,1935.8999999999999,4194.45,77.43599999999999,64.53,387.18,3.8718
1645,Alvinópolis,-20.1098,-43.0535,117,133.0,204.0,115767.0,85667.58,11576.7,3473.0099999999998,7524.8550000000005,138.9204,115.767,694.602,6.94602
1646,Morro da Garça,-18.5356,-44.601,35,2253.0,4153.0,41104.0,30416.960000000003,4110.4,1233.12,2671.76,49.324799999999996,41.104,246.624,2.46624
1647,Cambuquira,-21.854,-45.2896,200,1234.0,4189.0,74397.0,55053.78,7439.7,2231.91,4835.805,89.2764,74.397,446.382,4.46382
1648,Mantena,-18.7761,-40.9874,491,18349.0,54938.0,248405.0,183819.7,24840.5,7452.15,16146.325,298.08599999999996,248.405,1490.43,14.904300000000001
1649,Piracema,-20.5089,-44.4783,88,343.0,689.0,64480.0,47715.2,6448.0,1934.3999999999999,4191.2,77.37599999999999,64.48,386.88,3.8688000000000002
1650,Ibiraci,-20.4611,-47.1222,325,2517.0,4102.0,208170.0,154045.8,20817.0,6245.099999999999,13531.050000000001,249.80399999999997,208.17000000000002,1249.02,12.4902
1651,Onça de Pitangui,-19.7276,-44.8058,443,127.0,237.0,207673.0,153678.02,20767.3,6230.19,13498.745,249.20759999999999,207.673,1246.038,12.46038
1652,Itamarandiba,-17.8552,-42.8561,221,602.0,1127.0,150497.0,111367.78,15049.7,4514.91,9782.305,180.5964,150.497,902.982,9.02982
1653,Fronteira,-20.2748,-49.1984,554,1280.0,2761.0,176760.0,130802.4,17676.0,5302.8,11489.4,212.112,176.76,1060.56,10.6056
1654,Campos Gerais,-21.237,-45.7569,397,415.0,851.0,278941.0,206416.34,27894.1,8368.23,18131.165,334.7292,278.94100000000003,1673.646,16.73646
1655,Aiuruoca,-21.9736,-44.6042,52,759.0,1358.0,35849.0,26528.26,3584.9,1075.47,2330.185,43.0188,35.849000000000004,215.094,2.15094
1656,Lagoa Dourada,-20.9139,-44.0797,201,1008.0,1729.0,150383.0,111283.42,15038.3,4511.49,9774.895,180.4596,150.383,902.298,9.02298
1657,Jacuí,-21.0137,-46.7359,149,928.0,1446.0,77417.0,57288.58,7741.7,2322.5099999999998,5032.1050000000005,92.90039999999999,77.417,464.502,4.64502
1658,Lambari,-21.9671,-45.3498,294,1255.0,2160.0,138738.0,102666.12,13873.8,4162.139999999999,9017.970000000001,166.48559999999998,138.738,832.428,8.32428
1659,Pimenta,-20.4827,-45.8049,184,1043.0,2013.0,162675.0,120379.5,16267.5,4880.25,10573.875,195.20999999999998,162.675,976.0500000000001,9.7605
1660,Jacutinga,-27.7291,-52.5372,847,200.0,303.0,559363.0,413928.62,55936.3,16780.89,36358.595,671.2356,559.363,3356.178,33.56178
1661,Jacutinga,-22.286,-46.6166,847,2938.0,6690.0,559363.0,413928.62,55936.3,16780.89,36358.595,671.2356,559.363,3356.178,33.56178
1662,São João da Ponte,-15.9271,-44.0096,91,771.0,1204.0,72048.0,53315.520000000004,7204.8,2161.44,4683.12,86.4576,72.048,432.288,4.3228800000000005
1663,Iguatama,-20.1776,-45.7111,184,1137.0,1876.0,376514.0,278620.36,37651.4,11295.42,24473.41,451.81679999999994,376.514,2259.0840000000003,22.59084
1664,Araújos,-19.9405,-45.1671,220,244.0,522.0,205061.0,151745.13999999998,20506.1,6151.83,13328.965,246.07319999999999,205.061,1230.366,12.30366
1665,Riachinho,-6.44005,-48.1371,79,146.0,229.0,100016.0,74011.84,10001.6,3000.48,6501.04,120.01919999999998,100.016,600.096,6.00096
1666,Riachinho,-16.2258,-45.9888,79,2324.0,4323.0,100016.0,74011.84,10001.6,3000.48,6501.04,120.01919999999998,100.016,600.096,6.00096
1667,Raul Soares,-20.1061,-42.4502,482,1048.0,2382.0,417585.0,309012.9,41758.5,12527.55,27143.025,501.102,417.585,2505.5099999999998,25.0551
1668,Crisólita,-17.2381,-40.9184,41,7136.0,12368.0,20835.0,15417.9,2083.5,625.05,1354.275,25.002,20.835,125.01,1.2501
1669,São Joaquim de Bicas,-20.048,-44.2749,239,15599.0,31748.0,166669.0,123335.06,16666.9,5000.07,10833.485,200.00279999999998,166.669,1000.014,10.00014
1670,São Pedro da União,-21.131,-46.6123,88,758.0,1246.0,56276.0,41644.24,5627.6,1688.28,3657.94,67.5312,56.276,337.656,3.37656
1671,Medina,-16.2245,-41.4728,106,168.0,265.0,70568.0,52220.32,7056.8,2117.04,4586.92,84.68159999999999,70.568,423.408,4.2340800000000005
1672,Serra do Salitre,-19.1083,-46.6961,183,5237.0,10468.0,347798.0,257370.52000000002,34779.8,10433.94,22606.870000000003,417.3576,347.798,2086.788,20.86788
1673,Iapu,-19.4387,-42.2147,231,215.0,359.0,144098.0,106632.52,14409.8,4322.94,9366.37,172.9176,144.098,864.5880000000001,8.64588
1674,Matozinhos,-19.5543,-44.0868,268,1408.0,2594.0,185455.0,137236.7,18545.5,5563.65,12054.575,222.546,185.455,1112.73,11.1273
1675,Tiros,-19.0037,-45.9626,102,220.0,342.0,110030.0,81422.2,11003.0,3300.9,7151.95,132.036,110.03,660.1800000000001,6.6018
1676,São José da Varginha,-19.7006,-44.556,1495,2164.0,4660.0,781537.0,578337.38,78153.7,23446.11,50799.905,937.8444,781.537,4689.222,46.89222
1677,Fortaleza de Minas,-20.8508,-46.712,46,8083.0,22937.0,26600.0,19684.0,2660.0,798.0,1729.0,31.919999999999998,26.6,159.6,1.596
1678,Tombos,-20.9086,-42.0228,141,16776.0,56151.0,50745.0,37551.299999999996,5074.5,1522.35,3298.425,60.89399999999999,50.745000000000005,304.47,3.0447
1679,Guapé,-20.7631,-45.9152,249,190.0,309.0,174860.0,129396.4,17486.0,5245.8,11365.9,209.832,174.86,1049.16,10.4916
1680,Nova Ponte,-19.1461,-47.6779,284,762569.0,2995370.0,624040.0,461789.6,62404.0,18721.199999999997,40562.600000000006,748.848,624.04,3744.2400000000002,37.4424
1681,Olaria,-21.8598,-43.9356,6,897.0,1617.0,2570.0,1901.8,257.0,77.1,167.05,3.084,2.5700000000000003,15.42,0.1542
1682,Itatiaiuçu,-20.1983,-44.4211,173,951.0,1633.0,89154.0,65973.96,8915.4,2674.62,5795.01,106.98479999999999,89.154,534.924,5.34924
1683,Delfinópolis,-20.3468,-46.8456,293,819.0,1621.0,247324.0,183019.76,24732.4,7419.72,16076.06,296.7888,247.324,1483.944,14.83944
1684,Luz,-19.7911,-45.6794,379,1942.0,4118.0,300346.0,222256.04,30034.6,9010.38,19522.49,360.41519999999997,300.346,1802.076,18.02076
1685,Ervália,-20.8403,-42.6544,338,68.0,105.0,236394.0,174931.56,23639.4,7091.82,15365.61,283.6728,236.394,1418.364,14.18364
1686,Miradouro,-20.8899,-42.3458,195,1200.0,1862.0,103001.0,76220.74,10300.1,3090.0299999999997,6695.0650000000005,123.60119999999999,103.001,618.006,6.18006
1687,Serrania,-21.5441,-46.0417,56,17448.0,34738.0,52499.0,38849.26,5249.9,1574.97,3412.435,62.998799999999996,52.499,314.994,3.14994
1688,Campo do Meio,-21.1127,-45.8273,92,2176.0,4178.0,54029.0,39981.46,5402.9,1620.87,3511.885,64.8348,54.029,324.174,3.24174
1689,Conquista,-19.9312,-47.5492,149,14034.0,36002.0,72639.0,53752.86,7263.9,2179.17,4721.535,87.1668,72.639,435.834,4.35834
1690,São Francisco,-20.3623,-50.6952,539,203.0,326.0,717674.0,531078.76,71767.40000000001,21530.22,46648.81,861.2088,717.674,4306.044000000001,43.06044
1691,São Francisco,-6.60773,-38.0968,539,7024.0,13070.0,717674.0,531078.76,71767.40000000001,21530.22,46648.81,861.2088,717.674,4306.044000000001,43.06044
1692,São Francisco,-10.3442,-36.8869,539,3367.0,5544.0,717674.0,531078.76,71767.40000000001,21530.22,46648.81,861.2088,717.674,4306.044000000001,43.06044
1693,São Francisco,-15.9514,-44.8593,539,1007.0,2205.0,717674.0,531078.76,71767.40000000001,21530.22,46648.81,861.2088,717.674,4306.044000000001,43.06044
1694,Capim Branco,-19.5471,-44.1304,153,1655.0,2638.0,87055.0,64420.7,8705.5,2611.65,5658.575,104.466,87.055,522.33,5.2233
1695,Porto Firme,-20.6642,-43.0834,72,3839.0,6016.0,47889.0,35437.86,4788.9,1436.67,3112.785,57.46679999999999,47.889,287.334,2.8733400000000002
1696,Antônio Carlos,-27.5191,-48.766,172,848.0,1374.0,186999.0,138379.26,18699.9,5609.969999999999,12154.935000000001,224.39879999999997,186.999,1121.9940000000001,11.21994
1697,Antônio Carlos,-21.321,-43.7451,172,1136.0,2603.0,186999.0,138379.26,18699.9,5609.969999999999,12154.935000000001,224.39879999999997,186.999,1121.9940000000001,11.21994
1698,Oliveira,-20.6982,-44.829,463,1844.0,3092.0,323599.0,239463.26,32359.9,9707.97,21033.935,388.31879999999995,323.599,1941.594,19.41594
1699,Brasília de Minas,-16.2104,-44.4299,268,192100.0,589036.0,598042.0,442551.08,59804.200000000004,17941.26,38872.73,717.6504,598.042,3588.252,35.88252
1700,Taiobeiras,-15.8106,-42.2259,321,499.0,895.0,652887.0,483136.38,65288.7,19586.61,42437.655,783.4644,652.8870000000001,3917.322,39.17322
1701,João Monlevade,-19.8126,-43.1735,723,711.0,1694.0,412089.0,304945.86,41208.9,12362.67,26785.785,494.50679999999994,412.089,2472.534,24.72534
1702,Espinosa,-14.9249,-42.809,205,1943.0,3747.0,186103.0,137716.22,18610.3,5583.09,12096.695,223.32359999999997,186.103,1116.6180000000002,11.16618
1703,Resplendor,-19.3194,-41.2462,530,2945.0,5777.0,253522.0,187606.28,25352.2,7605.66,16478.93,304.22639999999996,253.52200000000002,1521.132,15.21132
1704,Claraval,-20.397,-47.2768,114,239.0,366.0,61450.0,45473.0,6145.0,1843.5,3994.25,73.74,61.45,368.7,3.6870000000000003
1705,Delfim Moreira,-22.5036,-45.2792,85,1269.0,2492.0,177097.0,131051.77999999998,17709.7,5312.91,11511.305,212.5164,177.09699999999998,1062.5819999999999,10.62582
1706,Botelhos,-21.6412,-46.391,260,112292.0,215136.0,152817.0,113084.58,15281.7,4584.51,9933.105,183.38039999999998,152.817,916.902,9.16902
1707,Brás Pires,-20.8419,-43.2406,59,431.0,740.0,53715.0,39749.1,5371.5,1611.45,3491.475,64.458,53.715,322.29,3.2229
1708,Marilac,-18.5079,-42.0822,73,1305.0,3149.0,44855.0,33192.7,4485.5,1345.6499999999999,2915.5750000000003,53.82599999999999,44.855000000000004,269.13,2.6913
1709,Santa Rosa da Serra,-19.5186,-45.9611,37,50892.0,112127.0,24568.0,18180.32,2456.8,737.04,1596.92,29.481599999999997,24.568,147.40800000000002,1.47408
1710,Santo Antônio do Monte,-20.085,-45.2947,663,156.0,371.0,365187.0,270238.38,36518.7,10955.609999999999,23737.155000000002,438.22439999999995,365.187,2191.122,21.91122
1711,Monte Belo,-21.3271,-46.3635,130,3943.0,7870.0,64910.0,48033.4,6491.0,1947.3,4219.15,77.892,64.91,389.46,3.8946
1712,Paraopeba,-19.2732,-44.4044,431,62.0,152.0,428366.0,316990.84,42836.6,12850.98,27843.79,514.0391999999999,428.36600000000004,2570.196,25.70196
1713,Augusto de Lima,-18.0997,-44.2655,55,432.0,830.0,61515.0,45521.1,6151.5,1845.45,3998.475,73.818,61.515,369.09,3.6909
1714,Pedralva,-22.2386,-45.4654,160,32363.0,64038.0,113785.0,84200.9,11378.5,3413.5499999999997,7396.025000000001,136.542,113.785,682.71,6.8271
1715,Ipanema,-19.7992,-41.7164,108,325.0,630.0,73079.0,54078.46,7307.900000000001,2192.37,4750.135,87.69479999999999,73.07900000000001,438.474,4.38474
1716,Carangola,-20.7343,-42.0313,466,104.0,156.0,289440.0,214185.6,28944.0,8683.199999999999,18813.600000000002,347.328,289.44,1736.64,17.3664
1717,Ijaci,-21.1738,-44.9233,150,109.0,177.0,79038.0,58488.12,7903.8,2371.14,5137.47,94.84559999999999,79.038,474.228,4.74228
1718,Carlos Chagas,-17.6973,-40.7723,144,781.0,1258.0,92978.0,68803.72,9297.8,2789.3399999999997,6043.570000000001,111.57359999999998,92.978,557.868,5.57868
1719,Goiabeira,-18.9807,-41.2235,92,850.0,1670.0,44054.0,32599.96,4405.4,1321.62,2863.51,52.864799999999995,44.054,264.324,2.64324
1720,Perdigão,-19.9411,-45.078,291,40065.0,79141.0,322589.0,238715.86000000002,32258.9,9677.67,20968.285,387.10679999999996,322.589,1935.534,19.35534
1721,Visconde do Rio Branco,-21.0127,-42.8361,937,133.0,206.0,687493.0,508744.82,68749.3,20624.79,44687.045,824.9916,687.493,4124.958,41.24958
1722,Rio Casca,-20.2285,-42.6462,116,1930.0,3076.0,89066.0,65908.84,8906.6,2671.98,5789.29,106.87919999999998,89.066,534.396,5.34396
1723,Manga,-14.7529,-43.9391,141,1165.0,1728.0,1501278.0,1110945.72,150127.80000000002,45038.34,97583.07,1801.5335999999998,1501.278,9007.668,90.07668
1724,Poço Fundo,-21.78,-45.9658,348,15337.0,34815.0,186692.0,138152.08,18669.2,5600.76,12134.98,224.0304,186.692,1120.152,11.20152
1725,Abre Campo,-20.2996,-42.4743,223,356.0,752.0,200801.0,148592.74,20080.1,6024.03,13052.065,240.9612,200.80100000000002,1204.806,12.048060000000001
1726,Nova Porteirinha,-15.7993,-43.2941,489,4037.0,7167.0,590655.0,437084.7,59065.5,17719.65,38392.575,708.786,590.6550000000001,3543.93,35.4393
1727,Jequitinhonha,-16.4375,-41.0117,240,83.0,124.0,174458.0,129098.92,17445.8,5233.74,11339.77,209.34959999999998,174.458,1046.748,10.46748
1728,Água Comprida,-20.0576,-48.1069,76,93.0,144.0,38461.0,28461.14,3846.1,1153.83,2499.965,46.1532,38.461,230.766,2.30766
1729,Barão de Cocais,-19.9389,-43.4755,174,1144.0,1835.0,153733.0,113762.42,15373.3,4611.99,9992.645,184.47959999999998,153.733,922.398,9.223980000000001
1730,Virgolândia,-18.4738,-42.3067,54,1038.0,1959.0,28301.0,20942.74,2830.1,849.03,1839.565,33.9612,28.301000000000002,169.806,1.6980600000000001
1731,Planura,-20.1376,-48.7,413,234.0,529.0,116244.0,86020.56,11624.4,3487.3199999999997,7555.860000000001,139.4928,116.244,697.464,6.97464
1732,Inconfidentes,-22.3136,-46.3264,152,3184.0,6219.0,64300.0,47582.0,6430.0,1929.0,4179.5,77.16,64.3,385.8,3.858
1733,Ladainha,-17.6279,-41.7488,41,87.0,156.0,20362.0,15067.880000000001,2036.2,610.86,1323.53,24.434399999999997,20.362000000000002,122.172,1.22172
1734,Piranga,-20.6834,-43.2967,68,668.0,1069.0,80901.0,59866.74,8090.1,2427.0299999999997,5258.5650000000005,97.0812,80.901,485.406,4.8540600000000005
1735,Minas Novas,-17.2156,-42.5884,120,102.0,202.0,55847.0,41326.78,5584.7,1675.4099999999999,3630.0550000000003,67.01639999999999,55.847,335.082,3.35082
1736,Santana de Cataguases,-21.2893,-42.5524,46,24627.0,50437.0,27839.0,20600.86,2783.9,835.17,1809.535,33.4068,27.839,167.034,1.6703400000000002
1737,Ipuiúna,-22.1013,-46.1915,61,496.0,967.0,54145.0,40067.3,5414.5,1624.35,3519.425,64.97399999999999,54.145,324.87,3.2487
1738,Coroaci,-18.6156,-42.2791,99,3129.0,5197.0,48240.0,35697.6,4824.0,1447.2,3135.6,57.888,48.24,289.44,2.8944
1739,Mato Verde,-15.3944,-42.86,156,2377.0,5043.0,519334.0,384307.16,51933.4,15580.02,33756.71,623.2008,519.3340000000001,3116.004,31.160040000000002
1740,Capetinga,-20.6163,-47.0571,110,903.0,1583.0,61536.0,45536.64,6153.6,1846.08,3999.84,73.8432,61.536,369.216,3.69216
1741,Naque,-19.2291,-42.3312,127,7252.0,12859.0,67321.0,49817.54,6732.1,2019.6299999999999,4375.865,80.78519999999999,67.321,403.926,4.0392600000000005
1742,Itaguara,-20.3947,-44.4875,261,1352.0,2395.0,161426.0,119455.24,16142.6,4842.78,10492.69,193.7112,161.42600000000002,968.556,9.68556
1743,Turmalina,-20.0486,-50.4792,270,1074.0,2057.0,204638.0,151432.12,20463.8,6139.139999999999,13301.470000000001,245.5656,204.638,1227.828,12.27828
1744,Turmalina,-17.2828,-42.7285,270,9.0,13.0,204638.0,151432.12,20463.8,6139.139999999999,13301.470000000001,245.5656,204.638,1227.828,12.27828
1745,Pocrane,-19.6208,-41.6334,188,2011.0,4211.0,92883.0,68733.42,9288.3,2786.49,6037.395,111.4596,92.883,557.298,5.57298
1746,Piedade dos Gerais,-20.4715,-44.2243,48,244.0,447.0,36560.0,27054.4,3656.0,1096.8,2376.4,43.87199999999999,36.56,219.36,2.1936
1747,Jaíba,-15.3432,-43.6688,340,594.0,1289.0,1174258.0,868950.92,117425.8,35227.74,76326.77,1409.1095999999998,1174.258,7045.548,70.45548000000001
1748,Desterro do Melo,-21.143,-43.5178,21,155.0,240.0,12135.0,8979.9,1213.5,364.04999999999995,788.7750000000001,14.561999999999998,12.135,72.81,0.7281
1749,Funilândia,-19.3661,-44.061,117,1550.0,3249.0,141566.0,104758.84,14156.6,4246.98,9201.79,169.87919999999997,141.566,849.3960000000001,8.49396
